"","onecm"
"Run001",389000
"Run002",570000
"Run003",748000
"Run004",932000
"Run005",1070000
"Run006",1300000
"Run007",1510000
"Run008",1660000
"Run009",764000
"Run010",1020000
"Run011",1240000
"Run012",1390000
"Run013",879000
"Run014",933000
"Run015",973000
"Run016",1070000
"Run017",655000
"Run018",755000
"Run019",793000
"Run020",898000
"Run021",1080000
"Run022",1340000
"Run023",1580000
"Run024",1750000
"Run025",763000
"Run026",1040000
"Run027",1290000
"Run028",1460000
"Run029",1120000
"Run030",1510000
"Run031",1850000
"Run032",2060000
"Run033",782000
"Run034",1200000
"Run035",1540000
"Run036",1750000
"Run037",1480000
"Run038",1160000
"Run039",1510000
"Run040",1170000
"Run041",1700000
"Run042",1350000
"Run043",1490000
"Run044",1450000
"Run045",1410000
"Run046",1360000
"Run047",1300000
"Run048",249000
"Run049",1270000
"Run050",1220000
"Run051",1140000
"Run052",1300000
"Run053",1240000
"Run054",1170000
"Run055",1470000
"Run056",1380000
"Run057",1310000
