phi_full,no_agg_mass_C,no_agg_mass_F,ind_mass_phi_100_C,ind_mass_phi_100_F,ind_mass_phi_80_F,agg_mass_phi_100_C,agg_mass_phi_100_F,agg_mass_phi_80_F,agg_phi,agg_massdis_100_C,agg_massdis_100_F,agg_massdis_80_F
-2,0.0007,0,0.0007,0,0,0,0,0,2.2,0.037314979,0.0575,0.046
-1,0.0044,0,0.0044,0,0,0,0,0,2.3,0.149195021,0.2299,0.1839
0,0.0195,0,0.0195,0,0,0,0,0,2.4,0.24868,0.3832,0.3065
1,0.0817,0,0.0817,0,0,0,0,0,2.5,0.149195021,0.2299,0.1839
2,0.165,0.00036,0.165,0.0003,0.0003,0,0,0,2.6,0.037314979,0.0575,0.046
3,0.107,0.04175,0.107,0.0417,0.0417,0.6217,0.958,0.7663,2.7,0,0,0
4,0.0764,0.11609,0,0,0.0232,0,0,0,2.8,0,0,0
5,0.1744,0.27915,0,0,0.0558,0,0,0,NA,NA,NA,NA
6,0.2037,0.30968,0,0,0.0619,0,0,0,NA,NA,NA,NA
7,0.1093,0.16245,0,0,0.0325,0,0,0,NA,NA,NA,NA
8,0.0434,0.06663,0,0,0.0133,0,0,0,NA,NA,NA,NA
9,0.0124,0.01985,0,0,0.004,0,0,0,NA,NA,NA,NA
10,0.0017,0.0031,0,0,0.0006,0,0,0,NA,NA,NA,NA
11,0.0004,0.00094,0,0,0.0002,0,0,0,NA,NA,NA,NA
